Run,Accuracy,Precision,Recall,F1
1,0.974025974025974,0.3246753246753247,0.3333333333333333,0.3289473684210526
2,0.961038961038961,0.4805194805194805,0.5,0.4900662251655629
3,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
4,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
5,1.0,1.0,1.0,1.0
6,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
7,0.987012987012987,0.4935064935064935,0.5,0.49673202614379086
8,0.974025974025974,0.4934210526315789,0.4934210526315789,0.4934210526315789
9,0.974025974025974,0.4934210526315789,0.4934210526315789,0.4934210526315789
10,0.961038961038961,0.4805194805194805,0.5,0.4900662251655629
11,1.0,1.0,1.0,1.0
12,0.961038961038961,0.4868421052631579,0.49333333333333335,0.4900662251655629
13,0.987012987012987,0.4935064935064935,0.5,0.49673202614379086
14,1.0,1.0,1.0,1.0
15,0.948051948051948,0.474025974025974,0.5,0.4866666666666667
16,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
17,0.961038961038961,0.3203463203463203,0.3333333333333333,0.32671081677704195
18,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
19,1.0,1.0,1.0,1.0
20,0.948051948051948,0.31601731601731603,0.3333333333333333,0.3244444444444445
21,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
22,0.935064935064935,0.3116883116883117,0.3333333333333333,0.32214765100671144
23,0.987012987012987,0.5,0.4935064935064935,0.49673202614379086
24,0.974025974025974,0.487012987012987,0.5,0.4934210526315789
25,0.987012987012987,0.4935064935064935,0.5,0.49673202614379086
26,0.961038961038961,0.3203463203463203,0.3333333333333333,0.32671081677704195
27,0.974025974025974,0.4934210526315789,0.4934210526315789,0.4934210526315789
28,0.974025974025974,0.3246753246753247,0.3333333333333333,0.3289473684210526
29,0.987012987012987,0.5,0.4935064935064935,0.49673202614379086
30,1.0,1.0,1.0,1.0
